,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO,weighted_CHI,rank_CHI,weight_CHI,weighted_ZIPF,rank_ZIPF,weight_ZIPF,weighted_CLASSIFIER,rank_CLASSIFIER,weight_CLASSIFIER,weighted_IRPR,rank_IRPR,weight_IRPR,weighted_FID,rank_FID,weight_FID,weighted_PR,rank_PR,weight_PR,weighted_DC,rank_DC,weight_DC,weighted_MAUVE,rank_MAUVE,weight_MAUVE,weighted_TRADITIONAL,rank_TRADITIONAL,weight_TRADITIONAL,weighted_ZERO,rank_ZERO,weight_ZERO,final_score,dataset
30,LDA,0.3333420390183714,0.0400098191085011,0.9058476863354912,0.37083665,0.90359656073795,0.3701091280881381,0.2677184591245308,0.856025474295539,0.2979098987569822,0.2309382460482851,0.0,10,0.0,0.004858062876410406,2,0.12142176557299625,0.08175502741333827,8,0.090252510048427,0.040672725823203935,7,0.10967827970402586,0.07597326771577387,9,0.0840787482122862,0.04178236211311081,6,0.11289200655208029,0.031376115572674806,5,0.11719817779946218,0.1077426581401973,1,0.1258638456161173,0.03576357289636061,3,0.120048286564437,0.027381511821367586,4,0.11856637993016797,0.44730530437243765,clinc150
31,MATAVE,0.0781829021162606,0.0920563845503204,0.908058608058608,0.3657985,0.9189883961227628,0.4859628399292042,0.1921952137207088,0.8856536862118106,0.2878297593118705,0.2001081127968791,0.0,10,0.0,0.011177648744366598,2,0.12142176557299625,0.08195456864837017,8,0.090252510048427,0.0401201501983131,7,0.10967827970402586,0.0772673939676185,9,0.0840787482122862,0.054861320109355266,6,0.11289200655208029,0.02252492882984526,5,0.11719817779946218,0.11147177883070852,1,0.1258638456161173,0.03455346942764436,3,0.120048286564437,0.023726094528983672,4,0.11856637993016797,0.45765735328520546,clinc150
32,combinedTopicModel,0.2151746019678199,0.0258221989753061,0.8587489928953344,0.36995614,0.900921505339888,0.3939681439297327,0.2104868793388634,0.8501871809456866,0.30213281183216,0.2126356959034344,0.0,10,0.0,0.0031353769905588815,2,0.12142176557299625,0.07750425211036274,8,0.090252510048427,0.04057615300114174,7,0.10967827970402586,0.0757483524065063,9,0.0840787482122862,0.04447585428582629,6,0.11289200655208029,0.024668678709210055,5,0.11719817779946218,0.10700782808734988,1,0.1258638456161173,0.036270526375346265,3,0.120048286564437,0.025211444707202265,4,0.11856637993016797,0.43459846667350444,clinc150
33,realToReal,1.0,0.0118993957527189,0.5134176905678831,0.3448207,0.7052884574568958,0.0485002151437264,0.0333567364499165,0.0329813843959195,0.1494948215476942,0.0967467070042362,0.0,10,0.0,0.0014448456415469414,2,0.12142176557299625,0.04633723527701806,8,0.090252510048427,0.037819341182337984,7,0.10967827970402586,0.05929977063155007,9,0.0840787482122862,0.005475286605782864,6,0.11289200655208029,0.003909348729267115,5,0.11719817779946218,0.004151163873813832,1,0.1258638456161173,0.017946597177056964,3,0.120048286564437,0.011470906819656911,4,0.11856637993016797,0.18785449593803075,clinc150
34,realToReal2,1.0,0.0149373003387928,0.5697577276524645,0.33822587,0.7024888280093845,0.0317437984450766,0.0268925282026207,0.0291323973497026,0.1513053431942572,0.0902124969596641,0.0,10,0.0,0.0018137133800303368,2,0.12142176557299625,0.051422065040122984,8,0.090252510048427,0.037096031572997484,7,0.10967827970402586,0.059064381292145064,9,0.0840787482122862,0.0035836211020495033,6,0.11289200655208029,0.0031517553017677918,5,0.11719817779946218,0.003666715562450353,1,0.1258638456161173,0.018163947198514677,3,0.120048286564437,0.010696169188968657,4,0.11856637993016797,0.18865839963904685,clinc150
35,realToReal3,1.0,0.0101141336899649,0.5961013645224171,0.3463899,0.7131808568126838,0.0586996168222767,0.0433009979428261,0.0360169169271176,0.1663201210118185,0.0702860391569316,0.0,10,0.0,0.0012280759698768617,2,0.12142176557299625,0.0537996443914405,8,0.090252510048427,0.03799144833884954,7,0.10967827970402586,0.05996335368977618,9,0.0840787482122862,0.006626717526905064,6,0.11289200655208029,0.00507479805579748,5,0.11719817779946218,0.0045332276716832515,1,0.1258638456161173,0.01996644554865863,3,0.120048286564437,0.008333561222467416,4,0.11856637993016797,0.19751727241545491,clinc150
36,LDA,1.7763568394002505e-15,0.0148398220048937,0.9503960808838858,0.31325853,0.6757013158499361,0.6878130720832164,0.2223715811862899,0.7749400266492853,0.6819632704681359,0.2410786318858865,1.1073205603546223e-16,10,0.06233660578740957,0.0012100383964801635,9,0.08153995351703891,0.08713886658418742,7,0.09168689595515447,0.034387859153525976,5,0.10977469361656642,0.06841128400347464,6,0.10124485834014246,0.07885085898205368,3,0.11463995405500778,0.019785567170218,8,0.08897525063529951,0.09280944983788687,1,0.11976339670978134,0.07651586380594336,4,0.11219939125668571,0.028408464933397194,2,0.11783900012691384,0.48751825286716743,syntheticCareHomeNurseNotes
37,MATAVE,0.582789925281802,0.1204567305238325,0.832426516572858,0.30806482,0.5448968928960306,0.1979272186106335,0.2241769512269968,0.3143314019974163,0.4757055563921052,0.1006870030173094,0.03632914582916557,10,0.06233660578740957,0.009822036207727784,9,0.08153995351703891,0.0763226034153273,7,0.09168689595515447,0.033817721229542685,5,0.10977469361656642,0.0551680087312424,6,0.10124485834014246,0.022690367247758504,3,0.11463995405500778,0.019946200422079355,8,0.08897525063529951,0.037645396395758327,1,0.11976339670978134,0.05337387384461718,4,0.11219939125668571,0.011864855761335297,2,0.11783900012691384,0.35698020908455436,syntheticCareHomeNurseNotes
38,combinedTopicModel,0.7251116955459068,0.0998359062798496,0.8895875237338652,0.3078308,0.5375585557583423,0.1979012881673146,0.1265687575092993,0.1453049031985027,0.5131197726442337,0.1613252710106058,0.04520100191708534,10,0.06233660578740957,0.00814061515739039,9,0.08153995351703891,0.08156351873159041,7,0.09168689595515447,0.03379203175574253,5,0.10977469361656642,0.05442503982728494,6,0.10124485834014246,0.0226873945829278,3,0.11463995405500778,0.011261486921988353,8,0.08897525063529951,0.017402208765638656,1,0.11976339670978134,0.05757172613245199,4,0.11219939125668571,0.019010408631093184,2,0.11783900012691384,0.3510554324231936,syntheticCareHomeNurseNotes
39,realToReal,0.6425656671145537,0.0240133364871041,0.532010582010582,0.2911502,0.4198300932715209,0.0467897453987205,0.0393350809473976,0.0374133024500417,0.1567429932790624,0.0878103774769402,0.04005536268344378,10,0.06233660578740957,0.0019580463409474827,9,0.08153995351703891,0.04877839887984541,7,0.09168689595515447,0.03196092400140204,5,0.10977469361656642,0.04250563832020393,6,0.10124485834014246,0.00536397426275483,3,0.11463995405500778,0.003499848686054496,8,0.08897525063529951,0.004480744183547379,1,0.11976339670978134,0.01758646842966158,4,0.11219939125668571,0.01034748708264951,2,0.11783900012691384,0.20653689287051044,syntheticCareHomeNurseNotes
